Shape of X [B, N]: torch.Size([1, 472])
Shape of y: torch.Size([1]) torch.int64
| epoch   1 |     5/  360 batches | accuracy    0.167
| epoch   1 |    10/  360 batches | accuracy    0.400
| epoch   1 |    15/  360 batches | accuracy    0.200
| epoch   1 |    20/  360 batches | accuracy    0.200
| epoch   1 |    25/  360 batches | accuracy    0.400
| epoch   1 |    30/  360 batches | accuracy    0.400
| epoch   1 |    35/  360 batches | accuracy    0.200
| epoch   1 |    40/  360 batches | accuracy    0.400
| epoch   1 |    45/  360 batches | accuracy    0.200
| epoch   1 |    50/  360 batches | accuracy    0.600
| epoch   1 |    55/  360 batches | accuracy    0.200
| epoch   1 |    60/  360 batches | accuracy    0.600
| epoch   1 |    65/  360 batches | accuracy    0.200
| epoch   1 |    70/  360 batches | accuracy    0.400
| epoch   1 |    75/  360 batches | accuracy    0.400
| epoch   1 |    80/  360 batches | accuracy    0.200
| epoch   1 |    85/  360 batches | accuracy    0.000
| epoch   1 |    90/  360 batches | accuracy    0.200
| epoch   1 |    95/  360 batches | accuracy    0.000
| epoch   1 |   100/  360 batches | accuracy    0.200
| epoch   1 |   105/  360 batches | accuracy    0.400
| epoch   1 |   110/  360 batches | accuracy    0.200
| epoch   1 |   115/  360 batches | accuracy    0.400
| epoch   1 |   120/  360 batches | accuracy    0.400
| epoch   1 |   125/  360 batches | accuracy    0.400
| epoch   1 |   130/  360 batches | accuracy    0.400
| epoch   1 |   135/  360 batches | accuracy    0.200
| epoch   1 |   140/  360 batches | accuracy    0.400
| epoch   1 |   145/  360 batches | accuracy    0.200
| epoch   1 |   150/  360 batches | accuracy    0.200
| epoch   1 |   155/  360 batches | accuracy    0.400
| epoch   1 |   160/  360 batches | accuracy    0.600
| epoch   1 |   165/  360 batches | accuracy    0.400
| epoch   1 |   170/  360 batches | accuracy    0.600
| epoch   1 |   175/  360 batches | accuracy    0.200
| epoch   1 |   180/  360 batches | accuracy    0.400
| epoch   1 |   185/  360 batches | accuracy    0.400
| epoch   1 |   190/  360 batches | accuracy    0.400
| epoch   1 |   195/  360 batches | accuracy    0.200
| epoch   1 |   200/  360 batches | accuracy    0.600
| epoch   1 |   205/  360 batches | accuracy    0.400
| epoch   1 |   210/  360 batches | accuracy    0.600
| epoch   1 |   215/  360 batches | accuracy    0.600
| epoch   1 |   220/  360 batches | accuracy    0.200
| epoch   1 |   225/  360 batches | accuracy    0.400
| epoch   1 |   230/  360 batches | accuracy    0.400
| epoch   1 |   235/  360 batches | accuracy    0.600
| epoch   1 |   240/  360 batches | accuracy    0.600
| epoch   1 |   245/  360 batches | accuracy    0.400
| epoch   1 |   250/  360 batches | accuracy    0.600
| epoch   1 |   255/  360 batches | accuracy    0.400
| epoch   1 |   260/  360 batches | accuracy    1.000
| epoch   1 |   265/  360 batches | accuracy    0.200
| epoch   1 |   270/  360 batches | accuracy    0.600
| epoch   1 |   275/  360 batches | accuracy    0.800
| epoch   1 |   280/  360 batches | accuracy    0.800
| epoch   1 |   285/  360 batches | accuracy    0.200
| epoch   1 |   290/  360 batches | accuracy    1.000
| epoch   1 |   295/  360 batches | accuracy    0.200
| epoch   1 |   300/  360 batches | accuracy    0.600
| epoch   1 |   305/  360 batches | accuracy    0.600
| epoch   1 |   310/  360 batches | accuracy    0.600
| epoch   1 |   315/  360 batches | accuracy    0.600
| epoch   1 |   320/  360 batches | accuracy    0.600
| epoch   1 |   325/  360 batches | accuracy    0.400
| epoch   1 |   330/  360 batches | accuracy    0.600
| epoch   1 |   335/  360 batches | accuracy    0.600
| epoch   1 |   340/  360 batches | accuracy    0.600
| epoch   1 |   345/  360 batches | accuracy    0.600
| epoch   1 |   350/  360 batches | accuracy    0.600
| epoch   1 |   355/  360 batches | accuracy    0.600
-----------------------------------------------------------
| end of epoch   1 | time:  3.01s | valid accuracy    0.776
-----------------------------------------------------------
| epoch   2 |     5/  360 batches | accuracy    0.500
| epoch   2 |    10/  360 batches | accuracy    0.800
| epoch   2 |    15/  360 batches | accuracy    0.600
| epoch   2 |    20/  360 batches | accuracy    0.800
| epoch   2 |    25/  360 batches | accuracy    0.400
| epoch   2 |    30/  360 batches | accuracy    0.800
| epoch   2 |    35/  360 batches | accuracy    0.400
| epoch   2 |    40/  360 batches | accuracy    1.000
| epoch   2 |    45/  360 batches | accuracy    0.800
| epoch   2 |    50/  360 batches | accuracy    0.800
| epoch   2 |    55/  360 batches | accuracy    0.600
| epoch   2 |    60/  360 batches | accuracy    1.000
| epoch   2 |    65/  360 batches | accuracy    0.400
| epoch   2 |    70/  360 batches | accuracy    0.600
| epoch   2 |    75/  360 batches | accuracy    0.800
| epoch   2 |    80/  360 batches | accuracy    0.400
| epoch   2 |    85/  360 batches | accuracy    0.400
| epoch   2 |    90/  360 batches | accuracy    0.400
| epoch   2 |    95/  360 batches | accuracy    0.400
| epoch   2 |   100/  360 batches | accuracy    1.000
| epoch   2 |   105/  360 batches | accuracy    0.800
| epoch   2 |   110/  360 batches | accuracy    0.600
| epoch   2 |   115/  360 batches | accuracy    0.800
| epoch   2 |   120/  360 batches | accuracy    0.800
| epoch   2 |   125/  360 batches | accuracy    0.800
| epoch   2 |   130/  360 batches | accuracy    0.800
| epoch   2 |   135/  360 batches | accuracy    0.600
| epoch   2 |   140/  360 batches | accuracy    0.800
| epoch   2 |   145/  360 batches | accuracy    0.800
| epoch   2 |   150/  360 batches | accuracy    0.400
| epoch   2 |   155/  360 batches | accuracy    0.800
| epoch   2 |   160/  360 batches | accuracy    0.800
| epoch   2 |   165/  360 batches | accuracy    0.800
| epoch   2 |   170/  360 batches | accuracy    0.600
| epoch   2 |   175/  360 batches | accuracy    0.800
| epoch   2 |   180/  360 batches | accuracy    1.000
| epoch   2 |   185/  360 batches | accuracy    0.600
| epoch   2 |   190/  360 batches | accuracy    0.800
| epoch   2 |   195/  360 batches | accuracy    1.000
| epoch   2 |   200/  360 batches | accuracy    1.000
| epoch   2 |   205/  360 batches | accuracy    0.800
| epoch   2 |   210/  360 batches | accuracy    1.000
| epoch   2 |   215/  360 batches | accuracy    1.000
| epoch   2 |   220/  360 batches | accuracy    1.000
| epoch   2 |   225/  360 batches | accuracy    1.000
| epoch   2 |   230/  360 batches | accuracy    0.800
| epoch   2 |   235/  360 batches | accuracy    1.000
| epoch   2 |   240/  360 batches | accuracy    1.000
| epoch   2 |   245/  360 batches | accuracy    0.800
| epoch   2 |   250/  360 batches | accuracy    1.000
| epoch   2 |   255/  360 batches | accuracy    0.800
| epoch   2 |   260/  360 batches | accuracy    1.000
| epoch   2 |   265/  360 batches | accuracy    0.800
| epoch   2 |   270/  360 batches | accuracy    0.800
| epoch   2 |   275/  360 batches | accuracy    1.000
| epoch   2 |   280/  360 batches | accuracy    1.000
| epoch   2 |   285/  360 batches | accuracy    0.800
| epoch   2 |   290/  360 batches | accuracy    1.000
| epoch   2 |   295/  360 batches | accuracy    0.200
| epoch   2 |   300/  360 batches | accuracy    0.800
| epoch   2 |   305/  360 batches | accuracy    1.000
| epoch   2 |   310/  360 batches | accuracy    0.600
| epoch   2 |   315/  360 batches | accuracy    1.000
| epoch   2 |   320/  360 batches | accuracy    0.600
| epoch   2 |   325/  360 batches | accuracy    0.800
| epoch   2 |   330/  360 batches | accuracy    0.800
| epoch   2 |   335/  360 batches | accuracy    0.600
| epoch   2 |   340/  360 batches | accuracy    0.800
| epoch   2 |   345/  360 batches | accuracy    0.800
| epoch   2 |   350/  360 batches | accuracy    1.000
| epoch   2 |   355/  360 batches | accuracy    0.600
-----------------------------------------------------------
| end of epoch   2 | time:  1.28s | valid accuracy    0.895
-----------------------------------------------------------
| epoch   3 |     5/  360 batches | accuracy    0.833
| epoch   3 |    10/  360 batches | accuracy    1.000
| epoch   3 |    15/  360 batches | accuracy    0.400
| epoch   3 |    20/  360 batches | accuracy    0.800
| epoch   3 |    25/  360 batches | accuracy    1.000
| epoch   3 |    30/  360 batches | accuracy    0.800
| epoch   3 |    35/  360 batches | accuracy    0.600
| epoch   3 |    40/  360 batches | accuracy    1.000
| epoch   3 |    45/  360 batches | accuracy    1.000
| epoch   3 |    50/  360 batches | accuracy    0.800
| epoch   3 |    55/  360 batches | accuracy    0.800
| epoch   3 |    60/  360 batches | accuracy    1.000
| epoch   3 |    65/  360 batches | accuracy    1.000
| epoch   3 |    70/  360 batches | accuracy    1.000
| epoch   3 |    75/  360 batches | accuracy    0.800
| epoch   3 |    80/  360 batches | accuracy    0.600
| epoch   3 |    85/  360 batches | accuracy    0.600
| epoch   3 |    90/  360 batches | accuracy    0.600
| epoch   3 |    95/  360 batches | accuracy    0.600
| epoch   3 |   100/  360 batches | accuracy    1.000
| epoch   3 |   105/  360 batches | accuracy    1.000
| epoch   3 |   110/  360 batches | accuracy    1.000
| epoch   3 |   115/  360 batches | accuracy    0.800
| epoch   3 |   120/  360 batches | accuracy    0.800
| epoch   3 |   125/  360 batches | accuracy    0.800
| epoch   3 |   130/  360 batches | accuracy    1.000
| epoch   3 |   135/  360 batches | accuracy    0.800
| epoch   3 |   140/  360 batches | accuracy    0.800
| epoch   3 |   145/  360 batches | accuracy    1.000
| epoch   3 |   150/  360 batches | accuracy    0.600
| epoch   3 |   155/  360 batches | accuracy    1.000
| epoch   3 |   160/  360 batches | accuracy    0.800
| epoch   3 |   165/  360 batches | accuracy    0.800
| epoch   3 |   170/  360 batches | accuracy    0.800
| epoch   3 |   175/  360 batches | accuracy    0.800
| epoch   3 |   180/  360 batches | accuracy    1.000
| epoch   3 |   185/  360 batches | accuracy    0.600
| epoch   3 |   190/  360 batches | accuracy    0.800
