2024-03-02 12:48:59,101 INFO    MainThread:4704 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-03-02 12:48:59,102 INFO    MainThread:4704 [wandb_setup.py:_flush():76] Configure stats pid to 4704
2024-03-02 12:48:59,102 INFO    MainThread:4704 [wandb_setup.py:_flush():76] Loading settings from C:\Users\tzhan\.config\wandb\settings
2024-03-02 12:48:59,102 INFO    MainThread:4704 [wandb_setup.py:_flush():76] Loading settings from C:\Users\tzhan\PythonWS\10423_Spring2024\hw3\handout\wandb\settings
2024-03-02 12:48:59,102 INFO    MainThread:4704 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-02 12:48:59,102 INFO    MainThread:4704 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': 'C:\\Users\\tzhan\\PythonWS\\10423_Spring2024\\hw3\\handout\\train.py', 'program': 'C:\\Users\\tzhan\\PythonWS\\10423_Spring2024\\hw3\\handout\\train.py'}
2024-03-02 12:48:59,102 INFO    MainThread:4704 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-03-02 12:48:59,102 INFO    MainThread:4704 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-03-02 12:48:59,102 INFO    MainThread:4704 [wandb_init.py:_log_setup():526] Logging user logs to C:\Users\tzhan\PythonWS\10423_Spring2024\hw3\handout\wandb\run-20240302_124859-460az29k\logs\debug.log
2024-03-02 12:48:59,102 INFO    MainThread:4704 [wandb_init.py:_log_setup():527] Logging internal logs to C:\Users\tzhan\PythonWS\10423_Spring2024\hw3\handout\wandb\run-20240302_124859-460az29k\logs\debug-internal.log
2024-03-02 12:48:59,102 INFO    MainThread:4704 [wandb_init.py:init():566] calling init triggers
2024-03-02 12:48:59,103 INFO    MainThread:4704 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'out_dir': 'gpt-default-lora', 'eval_interval': 5, 'log_interval': 1, 'eval_iters': 40, 'eval_only': False, 'always_save_checkpoint': False, 'init_from': 'gpt2-medium', 'wandb_project': 'lora_finetune', 'dataset': 'openwebtext', 'gradient_accumulation_steps': 32, 'batch_size': 1, 'block_size': 1024, 'n_layer': 12, 'n_head': 12, 'n_embd': 768, 'dropout': 0.0, 'bias': False, 'learning_rate': 0.0005, 'max_iters': 50, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'grad_clip': 1.0, 'decay_lr': False, 'warmup_iters': 2000, 'lr_decay_iters': 600000, 'min_lr': 5e-09, 'backend': 'nccl', 'device': 'cuda', 'dtype': 'float16', 'compile': False, 'lora_rank': 64, 'lora_alpha': 512}
2024-03-02 12:48:59,103 INFO    MainThread:4704 [wandb_init.py:init():616] starting backend
2024-03-02 12:48:59,103 INFO    MainThread:4704 [wandb_init.py:init():620] setting up manager
2024-03-02 12:48:59,104 INFO    MainThread:4704 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-03-02 12:48:59,107 INFO    MainThread:4704 [wandb_init.py:init():628] backend started and connected
2024-03-02 12:48:59,111 INFO    MainThread:4704 [wandb_init.py:init():720] updated telemetry
2024-03-02 12:48:59,113 INFO    MainThread:4704 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-02 12:48:59,365 INFO    MainThread:4704 [wandb_run.py:_on_init():2262] communicating current version
2024-03-02 12:48:59,445 INFO    MainThread:4704 [wandb_run.py:_on_init():2271] got version response 
2024-03-02 12:48:59,445 INFO    MainThread:4704 [wandb_init.py:init():804] starting run threads in backend
2024-03-02 12:48:59,529 INFO    MainThread:4704 [wandb_run.py:_console_start():2241] atexit reg
2024-03-02 12:48:59,530 INFO    MainThread:4704 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-02 12:48:59,530 INFO    MainThread:4704 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-02 12:48:59,530 INFO    MainThread:4704 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-02 12:48:59,530 INFO    MainThread:4704 [wandb_init.py:init():847] run started, returning control to user process
2024-03-02 12:51:33,441 WARNING MsgRouterThr:4704 [router.py:message_loop():77] message_loop has been closed
